prompt,completion
Is there a way to automatically import the buckling lengths of the members calculated in RSBUCK or RF-STABILITY into RF-/STEEL EC3?,"The buckling lengths calculated in RSBUCK or RF-STABILITY can be transferred to RF-/STEEL EC3.To do this, please click in window 1.5 Effective Lengths - Members or 1.6 Effective Lengths - Sets of Members in the cell of the buckling length factor kcr (lower table). This gives access to several buttons where you should click the latter.In the dialog that follows, you can then import the buckling length coefficients for each member from the RSBUCK or RF-STABILITY add-on module."
Can the printout report be output in English?,"Yes, you can also print out the calculation results in English. To do this, please open the affected printout report and set the desired language under ""Settings"" → ""Language"". In addition to English, there is also the option of the document in German, French, Italian, Spanish, Russian , Czech, Polish, Hungarian, Slovak, Portuguese and Dutch and Chinese.If you want to change the language of the program interface itself in addition to the printout report language, you can do this in the global ""Program options"". The program offers the languages German, English, French, Italian, Polish, Portuguese, Russian, Spanish, Czech and Chinese. The global program options can be found under the menu item ""Options""."
"I have the following problem in RF-/FE-LTB: In order to examine the effect of the load application point, I have defined the eccentricity ez as positive and negative. A positive value, load application on the lower chord, should actually contribute to stabilizing the system. However, this is not the case. What do I have to consider here?","The definition of the load application point in RF-/FE-LTB depends on the local member axis system. For example, define B. a horizontal bar (global Z-axis points downwards), the z-axis of the local axis system also points downwards, in the positive Z-direction. If the load is now to act on the upper side, then a negative value must be entered for ez. With a horizontal bar, it doesn't matter in which direction the bar runs, the local axis z always points downwards.The situation is different with a vertical bar. In this case, the member direction is from top to bottom and the local axis z of the local axis system points in the negative X direction. If a positive value is now entered for the eccentricity ez, this corresponds to a load entry on the top chord and thus leads to a greater utilization.You can display the local axis system of each member in the ""Show"" navigator Activation of the option ""Member axis systems x,y,z"" under ""Model"" -> Turn on ""Staves""."
What options are there for exporting an existing project to Bentley ProStructures (ProSteel and ProConcrete) and STAAD.Pro? How should this be done?,"There are two ways to export to Bentley ProStructures. 1. Export via the product interface Export the data via the steel product interface ""Bentley ProStructure"" in a *.stp format and import this file into the target program. You can find this interface via the ""File > Export"" menu in the Formats for frameworks section. With the steel construction product interface (*.stp), the complete static system with materials, cross-sections, releases, loads, combinations, supports and results. This format is regulated according to the DSTV product interface for steel construction (http://www.dlubal.de/download/pss_dstv.pdf). The DSTV interface (*.stp) is used e.g. E.g. supported by Bentley ProStructure, Tekla Structures, Bocad, Intergraph Frameworks, Advanced Steel and Cadwork. 2. Export via the Bentley ISM interface Export the data via the ""Bentley ISM"" interface in a *.ism.dgn format and import this file into the target program. You will find this interface in the same dialog in the General formats for CAD programs section. With this technique it is also possible to export area components such as walls or slabs in addition to members."
"When generating the FE mesh, the message appears that an internal node is too far away.",This message is issued when an integrated node (node in the middle of a surface) is not in the surface plane.You can solve the problem by moving the node into the surface plane or delete the node number from the list of objects integrated into the surface.
Only the maximum value is displayed graphically in the deformation figur. Is it possible in RSTAB/RFEM to also display the maximum deformation of each member?,"You can display the maximum deformation of each member by activating the ""Show extreme values"" option in the ""Show"" navigator under ""Results"" → ""Deformation"" → ""Members"".Note If you have made several changes and want to use them again and again, you can set the entire ""Show"" navigator setting as the default setting. To do this, right-click in the free Navigator area and select the command ""Save settings as default""."
Result combinations calculated in RSTAB contain min/max values and associated internal forces. Why are these associated internal forces not considered in KAPPA? Which internal forces does KAPPA use for the verification?,"RF-/KAPPA uses the internal forces My or Mz at the respective verification point for verification method 1. If the maximum values of My and Mz occur at different points in the member, the associated internal forces may be applied. This is ensured by the verification at different x-points.In contrast to this, with Verification method 2 the maximum values of the moments must always be applied over the entire length of the member, even if they are not occur at the same point in the staff. As a result, the bending component in the design criterion is always constant for the entire member or continuous member.The moment coefficient βm for recording the shape of the bending moments My and Mz is always set to 1.1 or 1.0 (depending on the verification method) for a result combination. The combination of results represents an envelope from which the form of the moment coefficient cannot be determined unambiguously."
"I want to know the dead weight of the model. With the plausibility check, I can also quickly determine the model dimensions. How can I read the weight of each beam type or the proportion of steel grades S 235 and S 355?","It is possible to display the center of gravity and other information of parts of the model as you type:Use the ""Visibility"" in the Views navigator to display the relevant objects.Select them by drawing a window.Right-click on the selection to open the context menu.Choose the Entry Focus and info.You can now read the material weight of the selected objects in the info window."
"You can include your own company logo in the printout report.If our company's logo is included in the printout report, it will be printed out very small. Can you influence the size?","The logo size cannot be changed in the printout report. A certain number of pixels is available for the graphic. However, you can adjust the image size in a graphics program."
"In the ""Edit load cases"" dialog of the ""Self-weight"" load case, you can take the self-weight of the structure into account in the [Basic data].How can the considered self-weight of the structure be displayed graphically?","The display of the self-weight of the entered structure can be activated via the project navigator - Show.To do this, the check mark under ""Load"" → ""Self-weight"" must be set."
Can I calculate several models one after the other (e.g. overnight) without calling them up one after the other and calculating them separately?,"You can calculate several models at once:Open all models that you want to calculate.Then start the calculation with the menu ""Calculation → All Calculate results for all open models"".You can decide whether all results, only the results of the main program or only the results of the add-on module should be calculated."
"Due to a change in a project, the information on the project name should also be changed. How is this to be done?","You can subsequently change the project name in the project manager as follows:Open the project manager via ""File"" → ""Project Manager"" or the corresponding button.To change the Designation select the relevant project from the list on the left with a right click and select ""Properties"".You can then enter a new designation in the dialog that appears."
"Before a result combination is calculated, the message appears that the addition of the load cases is not permitted due to failing objects. What does that mean?","For result combinations, in which load cases are superimposed with '+', incorrect results can occur in connection with non-linear objects (tension or compression members, bearing failure, etc.). Example: A tension member receives compression in a load case and fails. The member results are zero in this load case. In another load case, however, this member is under tension, which means that it remains in the system and adopts internal forces. If you now add the results of these load cases in a result combination, two different static systems would be superimposed. This can be problematic.With nonlinear objects in the model, it is therefore better to form load combinations."
How are the signs of the bar moments defined?,"The bending moment My is positive if tensile stresses occur on the positive side of the member (in the direction of the z-axis). Mz is positive if there are compressive stresses on the positive member side (in the direction of the y axis).The sign definition for torsional moments, normal and lateral forces corresponds to the usual conventions: The internal forces are positive if they act in a positive direction on the positive shear edge."
Why are different buckling length coefficients calculated for a buckling figur?,"RSBUCK uses an instantaneous image of the normal force distribution in the respective load condition. The normal forces are increased iteratively until the critical load case occurs. In the numerical calculation, this stability load is characterized by the fact that the determinant of the stiffness matrix is zero.If the critical load factor is known, the buckling load and the buckling figure are determined from it. The buckling lengths and buckling length coefficients are then determined for this lowest buckling load.Example: Pendulum support with a length of 20 m, cross section HE-B 500, self-weight loadFor the The first buckling figure results in a buckling length coefficient of kcr,y = 2.92 for buckling about the major axis. For buckling around the weak axis, the buckling load of 651.3 kN results in a buckling length coefficient of 1.00.If you use the formula to determine the buckling load Ncr = pi ^2 * E * I / Lcr^2 to Lcr and sets Ncr = 651.3 kN and Iy = 107200 cm^4, the resulting buckling length Lcr,y is 58.4 m and from this the buckling length coefficient kcr,y of 2.92.In RSBUCK, the two buckling length coefficients are determined for each buckling figure and buckling load.Um to read the correct buckling length coefficient for deflection perpendicular to the y-axis (buckling around the strong axis), several buckling figures (mode shapes) must be calculated. Then the correct value can be selected in mask 2.1. In the example, it is the third buckling figure with a buckling load of 5485.5 kN. For this load, the buckling lengths and factors are determined: kcr,y = 1.0 and kcr,z = 0.345.For a square cross-section, there are two equal buckling lengths, since the stiffnesses are the same in both directions."
"When calculating the buckling lengths of a simple system, I get a buckling length Lcr,y that is too large for the first buckling figur. Why is that?","In RSBUCK and RF-STABILITY, the lowest buckling load is calculated first. This results, for example, for a pendulum support (Euler case 1, IPE profile) for buckling around the z-axis. The buckling length Lcr,y is then retrospectively determined with this buckling load.In order to read off the correct buckling length for Lcr,y, the second is therefore required buckling figure (eigenform) to consider. To do this, specify at least two or more buckling figures for the calculation in the basic data. In the second buckling figur, there is a higher buckling load (deflection around the y-axis), with which the corresponding buckling length Lcr,y is calculated.As the example shows, is in RSBUCK or RF-STABILITY, the calculation of several buckling figures (mode shapes) is necessary. This allows the results for the individual directions to be read."
How can I delete empty load cases and reorder the remaining ones?,"You can delete a load case in the navigator or via the pull-down menu ""File"" → ""Model data"". In the navigator switch to ""Load cases and combinations"" → ""Load cases"" and then click the load case to be deleted with the Right-click and select ""Delete"". It is not possible to automatically move up the next load case instead of the deleted one. The easiest way to sort load cases is to use the table. To do this, simply select and copy the respective rows and paste them back into the desired row. Alternatively, you can also use the ""Renumber → Move"" function to rearrange the load cases. "
Installing an update erased my company headers. Where is this data stored so I can back it up before the next installation?,"All log headers that you have created in the printout report using the ""Settings → Log header"" pull-down menu are saved in the DlubalProtocolConfigNew.cfg"" file. You will find this in the Dlubal master data directory (default: C:\ProgramData\Dlubal\Global\General Data). Changes in this file only take effect when you save the model.In the RfemProtocolConfig.cfg file or RstabProtocolConfig.cfg the details for your printout report template are saved. You should also back up these files before reinstalling.If you have created a combination scheme, do this this is stored in the KombinSchema.dat file in the master data directory.You can also back up the entire General Data folder before the next installation in order to save the to keep custom files.The projects linked in the project manager are managed in the PRO.DLP file, which by default is located in the C:\ProgramData\Dlubal\ folder Global\Project Manager. If you want to uninstall RFEM or RSTAB before an update, you should also back up this file.Ultimately, there is also the option of saving the settings used in the program, such as B. Display properties, fonts, toolbars, etc. to export as a file and import it again if necessary. This function can be called up via the ""Options → Configuration Manager"" menu."
"Is it possible to switch off the minimum internal forces when displaying the result combinations graphically, so that only the maximum values are displayed?","If you only want to display the maximum or minimum values of the result combinations, you can do this via the project navigator - results.Select the Result combinations category there. and activate the Max values or Min values. check box"
How can I display the local axis systems in RFEM and reverse the local z-axis?,"Each surface has a local coordinate system (x,y,z) in RFEM.The coordinates x and y are in the surface, z is perpendicular to the surface. The top and bottom of a face is determined by the direction of the z-axis.The direction in which the local z-axis is pointing is the bottom of a face. Normally this local z-axis points down. However, depending on the definition direction of the boundary lines and the order in which the lines were clicked, it may also be possible that the local z-axis points up.But this can be easily corrected. First, please display the local area coordinate systems.Proceed as follows:On the left side of the screen, activate the project navigator - Show.Open the ""Model"" → ""Surfaces"" branch and activate the check box in front of the ""Surface axis systems x,y,z"" entry.To reverse the direction of the local z-axis, click Now right-click on the area in question and select ""Reverse local axis system"" from the context menu.It is not possible to rotate the local x, y axes. The direction of these axes is directly dependent on the global axis and the position of the surface in relation to it. For example, define B. a surface in the x,y plane, the local x-axis points in the direction of the global x-axis. If you tilt this plate out of the plane, the local coordinate system rotates automatically."
"Several printout reports were created. However, the page numbering should be consecutive. How can I achieve this?","To give the start of the printout report a page number other than 1, please select the menu item ""Settings"" → ""Report header"" in the printout report.In the window that opens, please enter ""Pages - and sheet numbering"" enter the desired page number in the ""Page"" field.After confirming with [OK], the first page now begins with the newly defined page number."
"When designing with STEEL, I want to scroll between the designed load cases to see the different stress distributions.How is this possible?","In order to be able to compare the STEEL stresses from different load cases, the individual load cases must be assigned to different design cases. In the STEEL menu ""File"" → ""New case"" you can create another design case and assign the load case.For the printout report, you can then display the results in RFEM/RSTAB in such a way that a comparison of the stresses is given."
I have a truss node that is connected to several rectangular hollow sections (modeled as an FE shell structure). To create a realistic joint it is necessary to remove the surface parts lying in the node from some cross-sections.I achieved this by intersecting and deactivating the corresponding surface parts. This greatly slows down working with the model. Is there another way to generate the node?,"The most elegant option is certainly the penetration function. When the geometry changes, the penetration is automatically adjusted, regardless of the surface types used. This makes it easy to edit the model.The disadvantage of this function is that the working speed decreases if there are several larger penetrations, since the penetration lines and thus the overall structure have to be constantly recalculated. TipsWhen editing such a model, switch to wireframe mode for a short time. This suppresses the calculation of the model for rendering, which can take a long time with more complicated models. To check, you can switch back to rendering mode at any time.The penetrations should always be created one after the other, i.e. only for two surfaces at a time, otherwise the penetration lines would be calculated from all selected surfaces and the surfaces into a corresponding number of partial surfaces would be divided. This would lead to a significant overhead in deactivation and further slowdown due to a larger number of penetration lines.Another way to create such a node is to use the ""Lines/Bars connect” (in the “Extras” menu) and then to edit the surface boundary lines in such a way that the surface parts lying in the node no longer exist. These models can be edited faster because the model does not have to be recalculated after each change. This variant can be implemented quickly if all surfaces are defined as ""flat"" surfaces. However, it cannot easily connect curved surfaces (such as pipes)."
"The isosurface representation for internal forces does not match the color scale in the results panel. However, this only occurs with result combinations. Do you have an explanation?","When viewing EK results, by default the max and min area results are displayed simultaneously.On your system, the Z-direction (top view) view is the min results visible. If you rotate the model a little, you will see the max results on the bottom.It is also possible to switch off the simultaneous display and display only the max or only the min values instead. To do this, use the options in the lower area of the ""Results"" navigator."
"A hall frame is to be designed with the program FE-LTB.When the loading is transferred from RSTAB, not all internal forces are transferred. Why not?","In FE-LTB, only the loads that act directly on the continuous member are adopted. If loads are introduced into the continuous member through connected components, then these must be added manually.Examples of this are hall frames with crane runway brackets, 3-D halls with purlin roofs, multi-span frames, etc.If a force is applied to a cantilever that is not part of the continuous member, this load must be added manually become. This load must then be shifted to the node and the offset moment must also be applied."
We use several computers with RSTAB. One crashes again and again when trying to create a printout report.What could be the reason?,"Unfortunately, the cause is not easy to determine. Please try the following solutions.Printer driverThe problem could be related to the printer driver. Please try a new (up-to-date) printer driver (if necessary, use a PDF printer as the default printer). You can find this e.g. B. at www.treiber.de.Install e.g. B. use a different printer and try to create a new printout report.Memory problemThere may also be a memory problem. It might be helpful here to save the model and only then call up the printout report. This frees up the temporary memory.Graphics cardIt could also be due to the different graphics cards on the computers. Try disabling hardware acceleration (OpenGL) in the program. You can do this under the menu ""Options"" → ""Program Options"" → ""Graphics"". After disabling hardware acceleration, restart the program. If this solves the problem, we recommend that you update your graphics card driver.Other applications in the backgroundAnother possibility would be that another application in the background is also accessing the folder of the temporary Accesses files and locks the folder when calling the protocol. Please close all other applications, then start RSTAB and try calling the report again.Perhaps the problem can also be solved by opening a new printout report or making changes to the selection before opening (Edit ) of the printout report.If the problem only occurs in the current project, try the following:Open the project manager in RSTAB and select the function in the ""Project"" pull-down menu ""Separate"". This will remove that project from the project manager. It is not deleted, only the connection to the hard disk is disconnected.Next, under RSTAB, open the position again with the ""File"" → ""Open"" command.The now The question that appears is because you have disconnected the project. Answer [Yes] and then enter a project name again. (If you answer [No], no project is assigned to the position and it appears in the printout report under Project name: Nameless.)Now open the printout report. "
A surface of my RFEM structure is inclined in space. I want to create faces perpendicular to this face.Is there an easier and more accurate way than manually calculating the point coordinates of the new faces or adding the new faces to the existing face by rotating and moving?,"It is very easy to orientate new structural elements to existing elements when defining them.In the ""Extras"" → ""Coordinate system"" pull-down menu you will find the ""New coordinate system"" command.By clicking on this button it is possible to create a user-defined coordinate system to which the work planes are aligned If the three points that define the coordinate system are chosen in such a way that these are corner points of the existing surface, then a Plane of the new coordinate system determined by the surface plane and the other two working planes are perpendicular to this."
"I want to define an orthotropic plate. In order to control the influence of the material properties on the stiffness matrix, I would like to know how the stiffness matrix is determined. Also, how is the self-weight of the orthotropic surface calculated?","In RFEM, different types of orthotropic surfaces can be defined. In the ""Stiffness matrix"" tab, the [Info] button provides information on the calculation of the respective coefficients of the stiffness matrix.The self-weight is calculated from the specific weight of the material and the information in the dialog tabs to the selected orthotropy type. Separate input fields are available for considering the self-weight, e.g. B. to indicate the equivalent thickness of the plate."
"When starting RSTAB or RFEM, I get a message that the graphics chip does not support OpenGL hardware acceleration. Unfortunately, the rendering in the programs is no longer as detailed and the work is not quite as ""smooth"". Can I still use hardware acceleration?","OpenGL technology is used for 3D rendering, which must be supported in a suitable manner by the operating system and graphics card. Since not every graphics card manufacturer is on the same level of OpenGL technology, Microsoft's technology serves as a reference. We use the Windows standard OpenGL functions. In RSTAB and RFEM you can activate or deactivate the hardware acceleration (OpenGL) via the menu ""Options"" → ""Program Options"" in the ""Graphics"" dialog tab. In the same dialog, improved smoothing (antialiasing) can be set to prevent the edge effect. These options are activated after restarting the program. The options mentioned are very dependent on the graphics card used. When working with RSTAB and RFEM, a graphics card is recommended that accelerates OpenGL functions in terms of hardware. This is the case with all current graphics cards. It is very important that the graphics card drivers are always kept up to date. We advise against graphics solutions that are integrated into the chipset or main processor (Intel HD xxxx, G xx, Q xx) . Notebooks are often equipped with two graphics chips, an energy-saving Intel HD chip integrated into the processor and an additional, more powerful graphics chip (eg from NVIDIA or AMD). In this case, it should be ensured that RSTAB and RFEM use the powerful graphics chip. In the links below this FAQ you will find further information on how this works in detail."
"When calculating a system with tension rods in the second-order theory, does the relieving effect of the tension forces have to be activated?","In general, the calculation ""with traction relief"" makes sense and is suitable for every system.The standards contain provisions in which relieving effects with a lower partial safety factor than adverse effects must be taken into account. However, varying partial safety factors would only be possible with a disproportionately high amount of effort.In RFEM and RSTAB, there is the option of generally setting tensile forces to zero. This approach is on the safe side. To do this, remove the tick in the control field.On the other hand, the standards refer to actions. It would therefore be possible to decide for each impact whether it has a negative or negative effect. An impact that is considered globally as a burden can have a local relief effect. If the normal forces are to be included in the calculation unchanged, leave the check mark in the check box."
"I stored a ceiling tile on a shear wall. The shear wall should only absorb normal forces. So I added a line hinge between the surfaces and defined it so that all internal forces except those in the ux direction have hinges. Although no hinge is defined for ux, the slab deforms without being supported by the shear wall. Where is the error?","A line hinge is the right structural element to define the connection between the individual surfaces. However, the hinge definitions of the line hinge do not refer to the internal forces in the surface, but to the local coordinate system of the line hinge.If only normal forces are to be transferred to the shear wall, the direction u is therefore uz no joint to define. All other joint directions are to be set as articulated."
Can you convert area loads to member loads in RSTAB/RFEM?,"In RSTAB/RFEM you also have the option of automatically generating member loads from area loads.You can do this using levels or cells, among other things. You can find the corresponding command for converting area loads into member loads in the pull-down menu ""Extras"" → ""Generate loads"" → ""From area load on members using plane"" or ""From area load on members using cells"".Depending on which one If you choose the command, you either have to define a surface load plane using the corner nodes or you pick the cells (on which the load should act) in the graphic. Further information on handling can also be found in our manual."
I want to adjust the values of the results and the color scale to match reinforcement areas of mesh.How does it work?,"Customizing the color scale and range of values is very easy.Use the color scale to show the results for which the scale should be adjusted. Double-clicking on the colors of the color scale takes you to the ""Edit values and color scales"" window. There you can adjust the values of the areas to be displayed by sliding the slider to the right.The values can be changed by entering or changing them in the value fields. However, make sure that the order is maintained.The color adjustment is done by double-clicking on the color to be changed.Now a color can be selected from predefined colors for the corresponding value range can be selected or a new color can be defined. The color scale and value scale can be saved to access these custom scales in other positions."
What are the options for further processing the printout report in Word or as a PDF document?,"The data can be transferred to Word in RTF format, for example. The entire printout report, including embedded graphics, is transferred. To do this, select the printout report menu ""File → Export to RTF"". You can open the created RTF file directly with Word.The integrated PDF printer is available for output as a PDF. To do this, use the printout report menu ""File → Export to PDF""."
"With a ceiling slab, I get very large shear forces in the slab and unrealistic support reactions at the support ends, which make the slab undesignable. Why is that?","The support reactions are so large that singularities arise at the ends of the line supports due to the fixed clamping. This problem can be circumvented by realistic modeling of the system: ceiling slabs that rest on shear walls are in the direction of its own weight not really fully held. Due to the rigidity of the wall, the bearing as a spring is more realistic. The spring stiffness of a line support, which is intended to simulate a wall panel, is calculated using k = (E*d) / h (with E = Young's modulus of the wall, d = thickness of the wall, h = height of the wall). Singularities can be avoided by modeling line supports with springs. The modeling of supports as springs is also useful for point supports. Here, RFEM offers the ""Column"" function when generating point supports, whereby the spring parameter is automatically calculated from the column geometry and used."
"I modeled a steel plate lying on top of a concrete slab. The steel plate deforms through the concrete slab. If I add a bedding for the steel slab, the concrete slab is not loaded.How can I establish contact between the steel slab and the concrete slab? How can I model a lift off on train?","If surfaces are not connected to each other (by surfaces or members), they can deform ""into each other"". The collision or contact of unconnected elements cannot be taken into account in the calculation.By inserting the surface bedding, the steel plate is held globally. Since there is no connection to the concrete slab, it does not pass on any internal forces to it.It is therefore necessary to connect the two surfaces with each other. This can be done using surfaces or members.To enable lifting during tension, it is possible to create a contact solid that connects both surfaces.Using the option Contact volume additional properties can be defined in addition to failure under compressive or tensile forces. These include e.g. E.g. different friction coefficients of the surface.An example of such a modeling can be seen in the pictures for this answer. Here, a front plate was coupled to the bottom plate by means of a contact volume (failure under tension). The tensile forces are transferred to the concrete slab using anchors.The contact problem can be modeled in RFEM. A volume is created between the concrete and steel plates. The volume is given the property Contact.For the contact, nonlinear properties can be defined perpendicular and parallel to the plane of the plate."
"After importing a DXF file, there are now multiple nodes with identical coordinates. How can I clean up the system in RSTAB?","This problem when importing DXF drawings cannot always be avoided.In addition to the plausibility check, you have other functions in the Extras menu Eliminate duplicate coordinates available:Connect members Connect members Plausibility check > Identical nodesRegenerate model and round off node coordinatesConnect membersWith this function, you draw over an area Window open. If members intersect with nodes there, they are automatically split.Connecting membersYou can define an area around a node or member and the nodes, that are within a certain radius connect to this node eccentrically or by shifting.Model check > Identical nodesThis allows you to select duplicate nodes. It can be specified whether unused nodes are deleted or identical nodes are merged.Regenerate modelNode coordinates with many decimal places resulting from the import, can be rounded down."
"In RSTAB/RFEM I have defined a haunched member from two different cross-sections. This is now displayed incorrectly in the rendering (see graphic ""Cooking incorrect""). What I have done wrong?","If there are different cross-section types at the beginning and end of a haunched member that do not have the same number of stress points, RSTAB/RFEM draws the first half with one cross-section and the second half with the other. It is also necessary that the stress points with the same numbers are opposite each other. A ""continuous"" haunch is drawn if both ends have the same cross-section type (section series) and the stress points are opposite. So you could e.g Copy the profile with the lower height and then adjust the height and/or width on the second cross section. NoteThe easiest way to do this is to model both cross-sections as weld profiles or parameterized cross-sections."
What should you watch out for when installing and starting the Dlubal programs?,"PreparationBefore the installation, make sure that you have administrator rights. Then start the installation by double-clicking the downloaded *.exe file or [Open]. If you received a dongle for your license, please only connect it after the installation is complete. Installation processSelect the language in the start dialog. Twelve languages are available for the installation process. The language of the program interface can be changed at any time after installation. Then follow the instructions of the Installation Wizard. Dongle driverAfter the successful installation, plug the dongle (hardlock) into a USB port on your computer . The dongle driver will then be installed automatically. Full version or test versionIf you start RFEM, RSTAB, SHAPE-THIN etc. for the first time after successful installation, you must specify whether you want to use the program as a full version or as a 90-day trial version. To run as a full version, you need a dongle (hardlock) and an authorization file Author.ini. This authorization file contains encoded information for your license(s). We usually send you the file in an email. You can also access the authorization file via your Dlubal account. Save this Author.ini on your computer. Then use the [Browse] button to specify the path to the Author.ini file. The authorization file is required for each workstation. You can copy the file as many times as you like. However, if the content is changed, it becomes useless for authorization. Also pay attention to the date of the file so that you always use the current authorization: Some problems (e.g. an additional module only runs as a demo version) are due to an outdated authorization file. After starting RFEM or RSTAB, you can use the ""Help → About RFEM/RSTAB"" menu to check which modules are available as full versions. It is possible to update the authorization without reinstallation via the menu ""Help → Authorization → Import authorization file"". ProblemsShould problems occur during the installation, end all running applications with the task manager (Ctrl+Alt+Del) - especially printer toolboxes, scanner tools or virus scanner software. Now run the installation again. The closed drivers and programs are available again after restarting the computer. User rightsSmall adjustments are required to use RSTAB, RFEM or SHAPE-THIN with to be able to use the rights of a user. To do this, read the instructions in the user rights document (available via the link below) or see the User Rights Video."
The line supports and point supports are displayed much too large. How can I adjust the storage size?,"By default, the support sizes are optimized for reinforced concrete structures. The easiest way to change the display size is to right-click on the support. Then select the ""Reduce display size"" option in the context menu. If this does not improve anything, use the ""Display properties"" context menu option. Limit settings apply to the size of the bearing symbols, which are based on the size of the overall model. These limits can be adjusted via the [Settings] button. The changed display properties can be saved in configurations. In this way, different display properties can be created that are adapted to various structures. Saving the current configuration and calling saved configuration files is possible via the RFEM menu ""Settings"" - ""Configuration Manager""."
"I have a model with surfaces and members. If you display the deformations in the graphic after the calculation, the members remain in their original position.However, the members are connected to the surfaces and member deformations are also displayed in the table. Why is that?","In order not to make the display too confusing, the member deformations are only displayed as lines by default.The display can be adjusted in the Project Navigator - Show so that that the member deformations are also displayed as rendered cross-sections.Furthermore, in the ""Show"" navigator it is possible to hide the undeformed model in order to view only the deformations."
"In the model, the end of a rod lies exactly on the shell of a pipe. Why does the calculation break off with the message that the model is not sufficiently supported?","Although the rod end is geometrically exactly on the tube surface, the automatic integration of elements is only possible with flat surfaces. Since the end point of the member was not integrated into the pipe surface, no common FE node is created. The member therefore has no connection to the tube for RFEM, which leads to the demolition.Integrate the member end node manually into the tube surface: Double-click the tube surface to open the ""Edit surface"" dialog box. You can then add the node in the ""Integrated"" tab as soon as the ""Automatic object recognition"" option is deactivated.The bar is connected to the pipe surface through the integration. A common FE node is generated and the calculation is carried out successfully."
"In the 3D representation in RFEM, I would like to display the surfaces with their true thickness.Where can I set this?","The rendering parameters can be set in the Project Navigator - Show. To render the faces with their true thickness, just choose the following setting:Rendering → Model → Full Model → Faces → Filled including thickness"
Where can I specify which elements are shown in the graphic?,"You can make this setting using the Project Navigator - Show.With the second tab at the bottom of the navigator, the Show Navigator enabled. Objects in the graphic can be shown or hidden in a clear tree structure. All you have to do is activate or deactivate the checkboxes in front of the entries."
Can I export the design results of RF-CONCRETE surfaces to a mesh placement program?,You can export the results to various rebar CAD programs. The export function is called in RFEM and is possible in the following programs:Glaser format (*.fem)Strakon (*.cfe)Nemetschek format (*.asf)Engineering Structural Format (*.esf)There is also a function to import design details and loads into RFEM for the following Programs:Glaser format (*.fem)Strakon (*.cfe)
How can I import a CAD drawing into RFEM and create an RFEM model from it?,"The import of DXF files e.g. B. from AutoCAD is possible.Lines of the DXF file are also generated as lines in RFEM. Thus, the geometry can be completely created by the import. The imported lines can then be used for modeling as surface boundaries or member axes.There is also the option of direct import. Descriptions of interfaces with Tekla Structures and Autodesk AutoCAD Revit are available in the manuals under Interfaces. A list of the supported interfaces/program versions is provided for each version in the Update reports listed. For this purpose, the update report of the first version must always be checked (e.g. RFEM 5-20-01).A detailed overview of the interfaces and BIM-oriented planning is available on our website Building Information Modeling (BIM).In addition, there are already numerous webinars on the subject of BIM, which can be viewed as videos on our website. "
How many eigenmodes have to be taken into account in seismic design?,"According to EN 1998-1, so many modal shapes should be used that the sum of the effective modal masses is at least 90% of the effective total mass (this usually corresponds to the total mass of the structure). This regulation can differ in other seismic standards.In the input mask of RF-/DYNAM Pro you will find a 'Mode Shapes' tab in the dynamic load cases in which frequencies and effective modal mass factors are summarized in a table. In this way you can check before the calculation whether you are determining the required number of eigenvalues or whether you need to increase the number.The effective modal masses and the factors are shown in table 5.7 Effective modal mass factors after the calculation .In this FAQ lists causes of small effective modal mass factors and possible solutions. "
don't quite understand the modeling of the elastic surface bed. In which field should I enter my bedding number? What do the other parameters of the surface bedding mean?,"In RFEM, surface subgrade is described using five parameters: On the one hand, these are the three subgrade factors in the directions related to the local surface axes (Cu,x, Cu,y and Cu,z). Cu,z is practically equal to Winkler's bedding number. It can be taken from a building ground report. A non-linearity can also be assigned to this bedding, e.g. B. Failure under tension. Describe the Cu,x and Cu,y parameters the resistance of the bedding against horizontal displacement in the respective directions. On the other hand, the parameters for considering the shear load-bearing effect of the bedding (C v,xz and Cv,yz). The bedding number z. For the bedding of a foundation, for example, Cu,z must be entered in the field, since the bedding acts perpendicular to the surface."
Which bending theory should be chosen for the calculation of plates and shells - Kirchhoff or Mindlin?,"In the ""Calculation parameters"" dialog, you can choose between the two bending theories. When calculating according to Mindlin b> Lateral force deformations are included, according to Kirchhoff these are not taken into account. This means: The Mindlin theory leads to good results for thicker plates and shells, and the Kirchhoff theory for thin elements."
I have defined several materials for my cross section. SHAPE-THIN calculates strange cross-section values.,"For profiles with several materials, SHAPE-THIN determines the ideal cross-section parameters and cross-section profiles. The reference is made to the reference material that is stored in the Calculation parameters dialog, Global calculation parameters tab. So the area of the individual materials is calculated withn = Ei / Eref converted to the area of the reference material."
What are the limits of the calculation core of RFEM?,"The following values represent the upper bounds in the data structure of RFEM:99999 structure data (objects of each category, ie nodes, lines, surfaces, etc.)99999 Load data (objects of each load type per load case)9999 load cases9999 load combinations (the sum of nonlinearly calculated load cases and load combinations must not be greater than 9999)9999 result combinations Please note that the limits for working effectively with RFEM are lower and also depend on the hardware."
